question,ground_truth,contexts,evolution_type
Tên người nộp thuế và mã số thuế trong tờ khai thuế GTGT Mẫu số 01/GTGT là gì?,Tên người nộp thuế là CÔNG TY CỔ PHẦN DHA SURFACES và mã số thuế là 0106769437.,"[""Mẫu số: 01/GTGT (Ban hành kèm theo Thông tư số 80/2021/TT-BTC ngày 29 tháng 9 năm 2021 của Bộ trưởng Bộ Tài chính)""]",simple
Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ 4 năm 2024 là bao nhiêu?,Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ là 52.133.830 đồng.,"[""TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT) (Áp dụng đối với người nộp thuế tính thuế theo phương pháp khấu trừ có hoạt động sản xuất kinh doanh) [01a] Tên người nộp thuế: Hoạt động sản xuất kinh doanh thông thường [01b] Kỳ tính thuế: Quý 4 năm 2024 [02] Lần đầu: [1] [03] Bổ sung lần thứ: [1]""]",reasoning
Nghị định 13/2023/NĐ-CP áp dụng đối với những đối tượng nào?,"Nghị định áp dụng đối với: Cơ quan, tổ chức, cá nhân Việt Nam; Cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; Cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; Cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam.","[""[04] Tên người nộp thuế: CÔNG TY CỔ PHẦN DHA SURFACES [05] Mã số thuế: 0106769437 [06] Tên đại lý thuế (nếu có): [07] Mã số thuế: Ngày: [08] Hợp đồng đại lý thuế số: [09] Tên công ty/đại lý thuế/điểm kinh doanh của hoạt động sản xuất kinh doanh khác tính nơi đóng trụ sở chính: [10] Mã số thuế đơn vị phụ thuộc/điểm kinh doanh: [11] Địa chỉ nơi có hoạt động sản xuất kinh doanh khác tính nơi đóng trụ sở chính: [11a] Phường/xã: [11b] Quận/Huyện: [11c] Tỉnh/Thành phố: Đơn vị tiền: đồng Việt Nam""]",multi_context
"Theo Nghị định bảo vệ dữ liệu cá nhân, dữ liệu cá nhân cơ bản bao gồm những gì liên quan đến giấy tờ tùy thân?","Dữ liệu cá nhân cơ bản liên quan đến giấy tờ tùy thân bao gồm số chứng minh nhân dân, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số mã số thuế cá nhân, số bảo hiểm xã hội, số thẻ bảo hiểm y tế.","[""| STT | Chỉ tiêu | Giá trị hàng hóa, dịch vụ (chưa có thuế giá trị gia tăng) | Thuế giá trị gia tăng | |-----|----------|----------------------------------------------------------|-----------------------| | A | Không phát sinh hoạt động mua, bán trong kỳ (đánh dấu \""X\"") | [21] | [22] | | B | Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang | | 77.377.803 | | C | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | | | I | Hàng hóa, dịch vụ mua vào trong kỳ | | | | 1 | Hàng hóa, dịch vụ mua vào chịu thuế giá trị gia tăng | | | | | a | Hàng hóa, dịch vụ mua vào chịu thuế suất 10% | 2.405.743.241 | 245.163.767 | | | b | Hàng hóa, dịch vụ mua vào chịu thuế suất 8% | | | | | c | Hàng hóa, dịch vụ mua vào chịu thuế suất 5% | | | | | d | Hàng hóa, dịch vụ mua vào không chịu thuế | | | | II | Hàng hóa, dịch vụ bán ra trong kỳ | | | | 1 | Hàng hóa, dịch vụ bán ra không chịu th""]",simple
Kỳ tính thuế của Tờ khai thuế giá trị gia tăng Mẫu số 01/GTGT của công ty DHA Surfaces là khi nào?,Quý 4 năm 2024.,"[""Tôi cam đoan số liệu khai trên là đúng và chịu trách nhiệm trước pháp luật về số liệu đã khai./.""]",simple
"Hàng hóa, dịch vụ mua vào chịu thuế suất 10% có giá trị chưa thuế là bao nhiêu?","Giá trị hàng hóa, dịch vụ mua vào chịu thuế suất 10% (chưa có thuế GTGT) là 2.405.743.241 đồng.","[""**NGƯỜI NỘP THUẾ hoặc ĐẠI DIỆN HỢP PHÁP CỦA NGƯỜI NỘP THUẾ** (Chữ ký, ghi rõ họ tên; chức vụ và đóng dấu (nếu có)/ký điện tử)""]",reasoning
"Tổng doanh thu và thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra trong kỳ tính thuế là bao nhiêu?","Tổng giá trị hàng hóa, dịch vụ bán ra (chưa thuế) là 3.703.688.610 đồng và tổng thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra là 345.675.440 đồng.","[""# CHÍNH PHỦ ## CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM ### Độc lập - Tự do - Hạnh phúc""]",multi_context
Số tiền Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là bao nhiêu?,Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là 77.377.803 đồng.,"[""Căn cứ Luật Tổ chức Chính phủ ngày 19 tháng 6 năm 2015; Luật sửa đổi, bổ sung một số điều của Luật Tổ chức Chính phủ và Luật Tổ chức chính quyền địa phương ngày 22 tháng 11 năm 2019;""]",simple
Thuế giá trị gia tăng phát sinh trong kỳ của công ty DHA Surfaces được tính ra bao nhiêu và dựa trên công thức nào?,"Thuế GTGT phát sinh trong kỳ là 129.511.633 đồng, được tính dựa trên công thức: Chỉ tiêu [35] trừ đi chỉ tiêu [25] ([36]=[35]-[25]).","[""1. Nghị định này quy định về bảo vệ dữ liệu cá nhân và trách nhiệm bảo vệ dữ liệu cá nhân của cơ quan, tổ chức, cá nhân có liên quan.""]",simple
Ai là người đại diện ký tờ khai thuế giá trị gia tăng này và ngày ký là ngày nào?,"Người ký là TRỊNH THỊ SANG, ký ngày 24 tháng 01 năm 2025.","[""2. Nghị định này áp dụng đối với: a) Cơ quan, tổ chức, cá nhân Việt Nam; b) Cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; c) Cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; d) Cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam.""]",reasoning
